ticker,date,expiry,option_type,moneyness,strike,timestamp,open,high,low,close,volume
ACC,2024-08-28,2024-08-29,CALL,OTM1,2360,2024-08-28 09:15:00,11.0,11.0,8.5,9.65,1200
ACC,2024-08-28,2024-08-29,CALL,OTM1,2360,2024-08-28 09:16:00,9.95,9.95,9.1,9.1,3000
ACC,2024-08-28,2024-08-29,CALL,OTM1,2360,2024-08-28 09:17:00,10.3,10.3,8.4,9.2,4800
ACC,2024-08-28,2024-08-29,CALL,OTM1,2360,2024-08-28 09:18:00,9.35,9.35,8.55,8.55,1500
ACC,2024-08-28,2024-08-29,CALL,OTM1,2360,2024-08-28 09:19:00,8.55,10.0,8.55,10.0,2100
ACC,2024-08-28,2024-08-29,CALL,OTM1,2360,2024-08-28 09:20:00,10.0,10.0,9.8,9.8,300
ACC,2024-08-28,2024-08-29,CALL,OTM1,2360,2024-08-28 09:21:00,9.8,10.1,9.45,10.1,900
ACC,2024-08-28,2024-08-29,CALL,OTM1,2360,2024-08-28 09:22:00,10.1,10.1,9.45,9.45,600
ACC,2024-08-28,2024-08-29,CALL,OTM1,2360,2024-08-28 09:23:00,9.45,9.7,9.45,9.5,2100
ACC,2024-08-28,2024-08-29,CALL,OTM1,2360,2024-08-28 09:24:00,9.5,11.0,9.5,11.0,3900
ACC,2024-08-28,2024-08-29,CALL,OTM1,2360,2024-08-28 09:25:00,11.0,11.4,10.8,10.8,900
ACC,2024-08-28,2024-08-29,CALL,OTM1,2360,2024-08-28 09:26:00,10.8,11.4,10.6,11.1,3000
ACC,2024-08-28,2024-08-29,CALL,OTM1,2360,2024-08-28 09:27:00,11.1,11.1,10.3,10.55,2700
ACC,2024-08-28,2024-08-29,CALL,OTM1,2360,2024-08-28 09:28:00,10.55,10.55,10.0,10.0,1200
ACC,2024-08-28,2024-08-29,CALL,OTM1,2360,2024-08-28 09:29:00,10.0,10.0,9.3,9.3,1800
ACC,2024-08-28,2024-08-29,CALL,OTM1,2360,2024-08-28 09:30:00,9.3,9.3,7.65,7.65,1200
ACC,2024-08-28,2024-08-29,CALL,OTM1,2360,2024-08-28 09:31:00,7.75,7.85,7.75,7.85,600
ACC,2024-08-28,2024-08-29,CALL,OTM1,2360,2024-08-28 09:32:00,7.85,7.9,7.85,7.9,600
ACC,2024-08-28,2024-08-29,CALL,OTM1,2360,2024-08-28 09:33:00,7.9,7.9,7.4,7.7,0
ACC,2024-08-28,2024-08-29,CALL,OTM1,2360,2024-08-28 09:34:00,7.7,8.0,7.6,8.0,3000
ACC,2024-08-28,2024-08-29,CALL,OTM1,2360,2024-08-28 09:35:00,7.35,7.5,7.0,7.4,2400
ACC,2024-08-28,2024-08-29,CALL,OTM1,2360,2024-08-28 09:36:00,7.4,7.85,7.4,7.85,2400
ACC,2024-08-28,2024-08-29,CALL,OTM1,2360,2024-08-28 09:37:00,7.85,8.3,7.85,8.3,300
ACC,2024-08-28,2024-08-29,CALL,OTM1,2360,2024-08-28 09:38:00,8.3,9.3,8.3,9.3,300
ACC,2024-08-28,2024-08-29,CALL,OTM1,2360,2024-08-28 09:39:00,9.3,9.3,8.7,8.95,300
ACC,2024-08-28,2024-08-29,CALL,OTM1,2360,2024-08-28 09:40:00,8.95,9.05,8.95,9.05,1800
ACC,2024-08-28,2024-08-29,CALL,OTM1,2360,2024-08-28 09:41:00,9.05,9.05,8.75,8.75,1200
ACC,2024-08-28,2024-08-29,CALL,OTM1,2360,2024-08-28 09:42:00,9.2,9.6,9.2,9.6,600
ACC,2024-08-28,2024-08-29,CALL,OTM1,2360,2024-08-28 09:43:00,9.6,10.25,9.6,9.85,600
ACC,2024-08-28,2024-08-29,CALL,OTM1,2360,2024-08-28 09:44:00,9.7,9.7,9.7,9.7,300
ACC,2024-08-28,2024-08-29,CALL,OTM1,2360,2024-08-28 09:45:00,8.85,8.85,8.05,8.05,1500
ACC,2024-08-28,2024-08-29,CALL,OTM1,2360,2024-08-28 09:46:00,8.05,8.05,8.05,8.05,0
ACC,2024-08-28,2024-08-29,CALL,OTM1,2360,2024-08-28 09:47:00,10.3,10.3,10.3,10.3,300
ACC,2024-08-28,2024-08-29,CALL,OTM1,2360,2024-08-28 09:48:00,10.3,10.85,9.55,9.55,600
ACC,2024-08-28,2024-08-29,CALL,OTM1,2360,2024-08-28 09:49:00,9.55,9.55,9.55,9.55,0
ACC,2024-08-28,2024-08-29,CALL,OTM1,2360,2024-08-28 09:50:00,9.55,9.55,9.55,9.55,0
ACC,2024-08-28,2024-08-29,CALL,OTM1,2360,2024-08-28 09:51:00,9.55,9.55,9.55,9.55,0
ACC,2024-08-28,2024-08-29,CALL,OTM1,2360,2024-08-28 09:52:00,9.55,9.55,9.55,9.55,0
ACC,2024-08-28,2024-08-29,CALL,OTM1,2360,2024-08-28 09:53:00,9.55,9.55,9.55,9.55,0
ACC,2024-08-28,2024-08-29,CALL,OTM1,2360,2024-08-28 09:54:00,9.55,9.55,8.65,8.65,2100
ACC,2024-08-28,2024-08-29,CALL,OTM1,2360,2024-08-28 09:55:00,8.65,8.65,7.9,8.1,900
ACC,2024-08-28,2024-08-29,CALL,OTM1,2360,2024-08-28 09:56:00,8.1,8.15,8.05,8.15,900
ACC,2024-08-28,2024-08-29,CALL,OTM1,2360,2024-08-28 09:57:00,8.15,8.2,8.15,8.2,0
ACC,2024-08-28,2024-08-29,CALL,OTM1,2360,2024-08-28 09:58:00,8.2,8.5,8.2,8.5,3900
ACC,2024-08-28,2024-08-29,CALL,OTM1,2360,2024-08-28 09:59:00,8.75,8.75,8.75,8.75,1500
ACC,2024-08-28,2024-08-29,CALL,OTM1,2360,2024-08-28 10:00:00,8.75,8.85,8.75,8.85,600
